"","Date","billiger.mietwagen.de","e.sixt.de","europcar.de","rentalcars.com","avis.de"
"1",58,379,460,310,264,297
"2",65,370,410,312,302,302
"3",72,371,387,313,309,306
"4",79,366,337,318,347,311
"5",86,344,339,329,350,306
"6",93,343,313,323,290,299
"7",100,343,316,331,250,290
"8",107,322,321,319,258,283
"9",114,316,339,322,309,275
"10",121,309,342,319,357,269
"11",128,305,339,300,387,261
"12",135,296,379,275,415,225
"13",142,301,415,256,369,220
"14",149,309,434,241,327,204
"15",156,308,419,231,298,190
"16",163,316,412,220,287,176
"17",170,321,400,212,283,175
"18",177,337,376,215,317,172
"19",184,344,383,215,365,171
"20",191,349,375,227,356,179
"21",197,353,389,249,304,174
"22",203,348,377,272,289,178
"23",209,351,369,262,305,199
"24",4,360,330,260,345,208
"25",11,355,318,268,420,220
"26",18,356,302,274,445,215
"27",25,357,280,271,383,236
"28",32,359,290,283,334,238
"29",39,350,312,301,325,257
"30",46,342,299,306,333,253
"31",52,317,311,311,351,248
"32",59,291,344,320,407,251
"33",66,293,350,308,461,261
"34",73,268,365,295,431,266
"35",80,278,372,288,408,273
"36",87,265,396,272,373,275
"37",94,252,376,259,333,277
"38",101,248,354,255,326,304
"39",108,244,327,243,379,294
"40",115,243,288,237,438,302
"41",122,249,295,228,415,309
"42",129,257,347,223,350,288
"43",136,273,395,210,319,279
"44",143,283,421,210,287,270
"45",150,283,451,219,293,264
"46",157,313,439,229,341,264
"47",164,325,422,230,368,272
"48",171,336,429,251,326,279
"49",178,346,427,253,284,283
"50",185,345,408,266,295,287
"51",192,351,393,269,320,274
"52",198,357,371,267,371,282
"53",204,362,328,274,434,281
"54",5,360,303,281,458,280
"55",12,362,304,284,412,287
"56",19,364,353,286,342,308
"57",26,353,375,290,306,312
"58",33,362,406,296,285,312
"59",40,359,413,293,297,330
"60",47,350,386,290,343,338
"61",53,345,365,282,377,339
"62",60,342,380,285,385,338
"63",67,343,390,294,354,345
"64",74,347,399,320,327,368
"65",81,353,418,285,323,366
"66",88,360,400,284,329,364
"67",95,365,379,281,337,362
"68",102,361,342,273,353,359
"69",109,365,325,274,338,369
"70",116,358,323,286,304,385
"71",123,343,318,303,284,384
"72",130,342,325,312,291,417
"73",137,357,339,328,324,372
"74",144,347,339,338,361,359
"75",151,368,329,352,381,345
"76",158,355,343,364,364,343
"77",165,345,355,373,314,318
"78",172,332,359,387,294,311
"79",179,321,362,401,276,317
"80",186,315,340,402,305,318
"81",193,304,330,408,355,319
"82",199,299,325,413,377,330
"83",205,304,328,405,363,348
"84",210,307,341,396,318,337
"85",6,315,343,392,290,353
"86",13,313,353,396,277,335
"87",20,307,356,369,299,341
"88",27,301,332,347,353,351
"89",34,292,312,335,361,348
"90",41,301,305,311,339,352
"91",48,304,298,294,323,338
"92",54,308,299,288,312,325
"93",61,309,298,275,331,322
"94",68,315,296,258,345,313
"95",75,325,282,251,368,311
"96",82,319,294,248,366,311
"97",89,313,341,263,328,294
"98",96,322,390,266,306,293
"99",103,318,406,263,303,288
"100",110,326,421,269,317,283
"101",117,335,416,294,330,257
"102",124,339,430,304,359,242
"103",131,352,421,318,384,221
"104",138,363,421,339,365,205
"105",145,374,449,319,321,205
"106",152,371,440,336,292,177
"107",159,379,422,323,281,171
"108",166,382,407,327,291,173
"109",173,380,418,321,361,180
"110",180,379,430,317,441,193
"111",187,368,481,310,451,209
"112",194,364,533,312,413,226
"113",200,357,549,321,354,242
"114",206,354,553,311,300,205
"115",7,355,551,312,293,204
"116",14,357,515,303,321,216
"117",21,349,488,304,366,219
"118",28,360,473,308,342,212
"119",35,361,449,313,319,217
"120",42,358,441,319,283,245
"121",49,368,383,323,275,232
"122",55,370,388,336,306,225
"123",62,387,365,340,332,212
"124",69,393,380,345,323,207
"125",76,411,432,353,306,205
"126",83,396,450,353,293,202
"127",90,400,438,338,282,205
"128",97,390,437,350,281,203
"129",104,387,447,351,309,204
"130",111,389,425,348,325,209
"131",118,387,418,344,311,224
"132",125,394,415,340,288,237
"133",132,394,394,320,258,249
"134",139,395,382,303,233,273
"135",146,395,376,296,216,287
"136",153,384,354,294,250,302
"137",160,368,338,291,284,312
"138",167,358,339,276,298,322
"139",174,357,348,278,296,334
"140",181,366,351,282,286,348
"141",188,357,314,291,290,345
"142",195,353,320,274,289,347
"143",201,359,310,274,290,351
"144",207,364,298,279,299,345
"145",211,364,292,288,302,337
"146",1,369,290,295,296,335
"147",8,384,277,288,299,333
"148",15,401,287,297,307,316
"149",22,404,297,301,321,312
"150",29,412,308,297,324,300
"151",36,403,313,298,323,297
"152",43,402,329,306,317,282
"153",50,392,364,318,303,282
"154",56,390,364,304,302,266
"155",63,384,361,300,313,244
"156",70,383,358,301,312,230
"157",77,378,366,299,314,220
"158",84,385,362,294,320,218
"159",91,379,363,295,314,215
"160",98,379,365,297,306,214
"161",105,395,375,301,292,223
"162",112,396,376,310,282,237
