Date;meinestadt.de;yellowmap.de;gelbeseiten.de;dasoertliche.de;goyellow.de
02.08.14;161;128;127;168;110
03.08.14;171;132;126;189;120
04.08.14;261;136;135;233;119
05.08.14;358;126;160;267;117
06.08.14;443;118;197;254;112
07.08.14;358;112;167;214;120
08.08.14;251;112;118;189;122
09.08.14;206;107;96;125;118
10.08.14;243;103;95;120;117
11.08.14;291;103;105;120;118
12.08.14;378;108;142;138;116
13.08.14;417;117;170;137;110
14.08.14;362;121;165;137;110
15.08.14;284;122;125;154;108
16.08.14;280;114;107;154;101
17.08.14;272;106;138;156;114
18.08.14;266;97;179;157;122
19.08.14;329;88;265;161;134
20.08.14;380;82;324;147;127
21.08.14;309;88;298;147;128
22.08.14;254;97;228;135;134
23.08.14;227;88;169;124;133
24.08.14;254;81;152;120;131
25.08.14;290;82;163;133;122
26.08.14;349;88;184;134;119
27.08.14;357;91;207;137;116
28.08.14;274;100;160;115;132
29.08.14;197;103;135;113;136
30.08.14;159;101;138;114;137
31.08.14;176;101;138;122;140
01.09.14;240;98;121;132;139
02.09.14;321;100;141;130;149
03.09.14;385;100;170;137;142
04.09.14;317;98;161;125;135
05.09.14;256;90;148;114;115
06.09.14;234;85;137;118;101
07.09.14;253;77;121;124;94
08.09.14;386;74;133;133;94
09.09.14;407;72;162;142;107
10.09.14;313;80;225;152;111
11.09.14;391;98;231;144;118
12.09.14;310;97;187;123;132
13.09.14;197;102;170;132;122
14.09.14;143;100;153;132;108
15.09.14;259;105;164;141;100
16.09.14;315;104;194;159;99
17.09.14;340;99;244;149;107
18.09.14;320;96;252;144;95
19.09.14;232;92;202;146;81
20.09.14;157;95;174;150;62
21.09.14;158;100;183;149;60
22.09.14;331;109;187;141;73
23.09.14;412;113;213;151;77
24.09.14;404;118;223;147;91
25.09.14;323;125;171;132;89
26.09.14;304;135;110;130;80
27.09.14;185;139;106;116;68
28.09.14;195;137;129;110;68
29.09.14;241;130;184;128;86
30.09.14;327;123;233;143;105
01.10.14;348;125;255;147;108
02.10.14;322;115;227;144;112
03.10.14;189;101;184;139;79
04.10.14;157;86;164;140;73
05.10.14;246;74;150;150;78
06.10.14;327;75;152;147;100
07.10.14;334;89;176;145;121
08.10.14;282;100;187;150;128
09.10.14;286;98;172;164;124
10.10.14;260;89;158;183;106
11.10.14;207;84;151;181;78
12.10.14;176;81;146;176;84
13.10.14;216;78;150;162;78
14.10.14;245;85;166;149;90
15.10.14;257;89;174;143;103
16.10.14;266;92;167;131;102
17.10.14;214;85;145;137;85
18.10.14;165;86;161;147;77
19.10.14;163;86;168;151;79
20.10.14;222;97;184;165;86
21.10.14;220;95;195;151;82
22.10.14;233;104;195;147;94
23.10.14;238;95;177;141;91
24.10.14;239;87;160;148;74
25.10.14;203;76;146;161;72
26.10.14;217;88;151;160;76
27.10.14;240;94;146;158;74
28.10.14;285;104;164;153;71
29.10.14;275;115;184;140;72
30.10.14;239;125;188;139;78
31.10.14;206;116;181;132;70
01.11.14;190;112;179;139;83
02.11.14;196;102;165;146;90
03.11.14;238;101;166;149;89
04.11.14;272;93;174;159;100
05.11.14;250;100;173;164;113
06.11.14;234;102;158;159;107
07.11.14;205;87;148;154;85
08.11.14;189;79;159;137;67
09.11.14;216;78;174;128;71
10.11.14;247;82;172;135;74
11.11.14;238;97;195;149;90
12.11.14;222;104;191;158;93
13.11.14;236;106;163;161;85
14.11.14;217;93;153;153;63
15.11.14;174;87;148;147;63
16.11.14;187;83;152;144;65
17.11.14;251;83;158;150;72
18.11.14;261;85;171;146;70
19.11.14;266;84;193;137;74
20.11.14;269;75;159;131;75
21.11.14;270;68;127;131;74
22.11.14;270;68;129;131;64
23.11.14;271;78;149;140;73
24.11.14;271;82;173;148;72
25.11.14;273;102;198;159;79
26.11.14;236;117;201;162;81
27.11.14;225;109;165;159;87
28.11.14;190;91;117;152;72
29.11.14;162;87;106;146;68
30.11.14;195;95;119;149;75
01.12.14;228;97;131;151;90
